requirement_text,primary_service,service_category,complexity_level,deployment_scenario,keywords_extracted,reference_url
Accelerate media streaming and software distribution workloads worldwide. This requirement comes from a migration environment with low complexity and focuses on routing-centric operations.,Amazon CloudFront,Networking,Low,Migration,routing,https://aws.amazon.com/cloudfront/
"Support flexible schema requiremetns for user profiles, IoT telemetry, and session data. This requirement comes from a multi-region with low complexity and focuses on sql-centric operations.",Amazon DynamoDB,Database,Low,Multi-Region,sql,https://aws.amazon.com/dynamodb/
Scale read-heavy applications using multiple low-latency read replicas. This requirement comes from a migration environment with low complexity and focuses on key-value-centric operations.,Amazon Aurora,Database,Low,Migration,key-value,https://aws.amazon.com/rds/aurora/
Deliver static and dynamic content to users globally with reduced latency through edge locations. This requirement comes from a multi-region environment with low complexity and focuses on latency-centric operations.,Amazon CloudFront,Networking,Low,Multi-Region,latency,https://aws.amazon.com/cloudfront/
Support low-latency data access using managed Redis or Memcached clusters. This requirement comes from a analytics pipeline environment with high complexity and focuses on key-value-centric operations.,Amazon ElastiCache,Database,High,Analytics Pipeline,key-value,https://aws.amazon.com/elasticache/
Filter and block malicious requests at the edge before they reach application servers. This requirement comes from a migration environment with high complexity and focuses on firewall-centric operations.,AWS WAF,Security,High,Migration,firewall,https://aws.amazon.com/waf/
"Define fine-grained access control policies for users, roles, and services. This requirement comes from a migration environment with low complexity and focuses on encrypt-centric operations.",AWS IAM,Security,Low,Migration,encrypt,https://aws.amazon.com/iam/
Offload read traffic from primary databases by storing computed or static results in cache. This requirement comes from a multi-region environment with high complexity and focuses on database-centric operations.,Amazon ElastiCache,Database,High,Multi-Region,database,https://aws.amazon.com/elasticache/
btw Meet compliance requirements through scheduled backups and retention rules. This requirement comes from a multi-region environment with high complexity and focuses on object-centric operations.,AWS Backup,Storage,High,Multi-Region,object,https://aws.amazon.com/backup/
Store key-value and document data for high-traffic applications with single-digit millisecond latency. This requirement comes from a startup environment with medium complexity and focuses on key-value-centric operations.,Amazon DynamoDB,Database,Medium,Startup,key-value,https://aws.amazon.com/dynamodb/
Remove hard-coded secrets from application configuration and deployment workflows. This requirement comes from a enterprise environment with low complexity and focuses on access-centric operations.,AWS Secrets Manager,Security,Low,Enterprise,access,https://aws.amazon.com/secrets-manager/
Run high-performance relational databases compatible with MySQL or PostgreSQL. This requirement comes from a migration environment with low complexity and focuses on key-value-centric operations.,Amazon Aurora,Database,Low,Migration,key-value,https://aws.amazon.com/rds/aurora/
Simplify deployment pipelines for developers using familiar language runtimes. This requirement comes from a migration environment with medium complexity and focuses on run-centric operations.,Elastic Beanstalk,Compute,Medium,Migration,run,https://aws.amazon.com/elasticbeanstalk/
"Control access to encryption keys used by storage, databases, and applications. This requirement comes from a iot system environment with high complexity and focuses on access-centric operations.",AWS KMS,Security,High,IoT System,access,https://aws.amazon.com/kms/
Remove hard-coded secrets from application configuration and deployment workflows. This requirement comes from a startup environment with high complexity and focuses on identity-centric operations.,AWS Secrets Manager,Security,High,Startup,identity,https://aws.amazon.com/secrets-manager/
Integrate on-premises networks with cloud resources using VPN or Direct Connect. This requirement comes from a analytics pipeline environment with low complexity and focuses on dns-centric operations.,Amazon VPC,Networking,Low,Analytics Pipeline,dns,https://aws.amazon.com/vpc/
Store and retrieve large volumes of unstructured objects such as media files and logs. This requirement comes from a multi-region environment with medium complexity and focuses on store-centric operations.,Amazon S3,Storage,Medium,Multi-Region,store,https://aws.amazon.com/s3/
Support compute-intensive processing with flexible instance types and sizes. This requirement comes from a startup environment with high complexity and focuses on microservices-centric operations.,Amazon EC2,Compute,High,Startup,microservices,https://aws.amazon.com/ec2/
Provide highly available network file storage for containerised workloads. This requirement comes from a iot system environment with medium complexity and focuses on store-centric operations.,Amazon EFS,Storage,Medium,IoT System,store,https://aws.amazon.com/efs/
"Design isolated virtual networks with control over IP addressing, subnets, and routing policies. This requirement comes from a startup environment with low complexity and focuses on subnet-centric operations.",Amazon VPC,Networking,Low,Startup,subnet,https://aws.amazon.com/vpc/
